gene,avg_logFC,avg(logUMI)_cluster_4,avg(logUMI)_cluster_all,p_val,p_val_adj,cluster,Tabulo,
Plac8,2.965593841,3.670679561,0.557105391,1.65E-165,2.00E-161,4,Macrophage,
Lyz2,2.570362404,5.408483792,2.073568783,4.34E-196,5.27E-192,4,Monocyte,
Ifitm3,2.192972977,3.979159858,1.11374516,5.99E-151,7.28E-147,4,Monocyte,
Chil3,2.071179709,1.518186439,0.2177972,6.60E-64,8.01E-60,4,NA,
Smpdl3a,1.865849917,2.153054256,0.460121549,3.94E-169,4.78E-165,4,Monocyte,
Msrb1,1.846239705,2.82503783,0.656850044,1.14E-131,1.38E-127,4,NA,
Ear2,1.839849362,1.511537189,0.249150008,1.22E-79,1.48E-75,4,Monocyte,
Ifi27l2a,1.814808228,2.588683038,0.709987175,1.68E-85,2.04E-81,4,Monocyte,
Gngt2,1.779380034,2.438471627,1.006574777,3.18E-121,3.86E-117,4,Monocyte,
Ly6c2,1.696465736,1.434601286,0.270702088,1.70E-53,2.07E-49,4,,
Lgals3,1.689080477,3.043182876,0.893162649,7.34E-107,8.91E-103,4,Monocyte,(MAC2)
Cybb,1.645068727,2.0369073,0.438387389,5.57E-121,6.77E-117,4,,
Gpx1,1.577066322,3.180275884,1.44222823,2.72E-165,3.31E-161,4,,
Eno3,1.522306529,1.045583011,0.180067347,2.17E-64,2.63E-60,4,,
Napsa,1.509571866,2.246505186,0.585767464,3.82E-101,4.63E-97,4,,
Gsr,1.486242418,1.821920567,0.403496944,3.16E-102,3.83E-98,4,,
Cyp4f18,1.459083251,1.340972978,0.211593532,5.72E-97,6.95E-93,4,,
Metrnl,1.454259573,1.56599155,0.311827971,2.24E-108,2.72E-104,4,,
Sirpb1c,1.442284231,1.318048941,0.211703194,5.73E-91,6.96E-87,4,,
Ifitm2,1.439600881,2.529810671,0.780049419,1.96E-89,2.37E-85,4,,
Mgst1,1.427639648,1.49675067,0.272743223,8.33E-78,1.01E-73,4,,
Ms4a6c,1.415211573,2.193970814,0.714116908,3.00E-83,3.65E-79,4,,
Tppp3,1.387410575,1.034395976,0.139103022,2.83E-68,3.44E-64,4,,
Lst1,1.384716178,2.421671326,1.040085602,4.06E-99,4.94E-95,4,,
Samhd1,1.374609824,1.748723441,0.480171496,1.53E-103,1.86E-99,4,,
Cebpb,1.368626297,3.499498551,1.73633465,7.54E-98,9.15E-94,4,,
Pla2g7,1.311784877,1.174830172,0.195485924,6.82E-79,8.28E-75,4,,
Ifitm6,1.307049777,1.789423965,0.322528227,3.21E-105,3.90E-101,4,,
Hp,1.304211485,1.561919528,0.307660703,8.10E-81,9.84E-77,4,,
Pglyrp1,1.285981623,1.487703355,0.358269667,4.75E-52,5.77E-48,4,,
Clec4a1,1.270937973,1.229746318,0.215097285,1.41E-97,1.71E-93,4,,
S100a4,1.258709911,2.143208691,0.680386968,1.27E-66,1.55E-62,4,,
Ms4a4c,1.198640651,1.293687719,0.33305517,2.17E-51,2.63E-47,4,,
Ccl6,1.196165103,2.266500557,0.884753247,3.16E-70,3.84E-66,4,,
Adgre5,1.195240681,1.195783289,0.243320285,1.98E-73,2.40E-69,4,,
Vim,1.194611012,2.2193688,0.83618058,4.86E-48,5.90E-44,4,,
Fabp4,1.190476655,0.629406816,0.067159591,3.47E-47,4.22E-43,4,,
Prdx5,1.18537386,2.399149885,1.189086157,3.83E-85,4.65E-81,4,,
Plin2,1.185316713,1.363654492,0.3672943,3.15E-72,3.82E-68,4,,
Treml4,1.181931863,0.771629163,0.07951587,2.42E-77,2.94E-73,4,,
Itgal,1.179271386,0.905825317,0.14506465,2.21E-62,2.68E-58,4,,
Prr13,1.153453344,2.035198394,0.884937618,1.43E-76,1.74E-72,4,,
Clec4a3,1.15012902,1.653227993,0.588098883,3.85E-70,4.68E-66,4,,
H3f3a,1.150092275,3.304951892,1.998577488,2.77E-109,3.36E-105,4,,
Taldo1,1.144903175,2.486501693,1.214259934,5.58E-107,6.78E-103,4,,
Coro1a,1.124741556,3.181962161,1.915191865,5.65E-120,6.86E-116,4,,
Gm9733,1.121620509,0.780599593,0.103844197,5.62E-69,6.82E-65,4,,
Emp3,1.103572734,1.982418877,0.775464065,4.96E-64,6.02E-60,4,,
