"gene","avg_logFC","avg(logUMI)_cluster_Mac2_pos","avg(logUMI)_cluster_1","p_val","p_val_adj","cluster"
"S100a8",4.87573282671805,1.77360823430268,0.170039002525544,2.36316092401665e-44,2.87029525831062e-40,"Mac2_pos"
"S100a9",4.64983902658321,1.5535330679099,0.114763696262122,1.33308537568641e-45,1.61916549730871e-41,"Mac2_pos"
"Cd74",3.94328814004304,3.85886545206624,0.304631632943942,5.50273996165693e-48,6.6836279574285e-44,"Mac2_pos"
"H2-Ab1",3.6821068615525,3.10021340252142,0.249176729031162,2.28851967199055e-37,2.77963599359972e-33,"Mac2_pos"
"H2-Aa",3.64629112628878,2.93743161293779,0.175324285343287,2.95581896413726e-37,3.59013771384111e-33,"Mac2_pos"
"Ngp",3.51603032315174,0.624857122516087,0.0280929033683203,6.5124672131798e-24,7.91004267712818e-20,"Mac2_pos"
"H2-Eb1",3.47645084204829,2.72309068938483,0.131130040537767,2.01641099990329e-40,2.44913280048254e-36,"Mac2_pos"
"Retnlg",3.33813258018554,0.820878163077836,0.0356155697298977,3.02561908257164e-32,3.67491693769152e-28,"Mac2_pos"
"Camp",3.19595105120392,0.509203128571322,0.0239454513029665,2.13705385106301e-17,2.59566560750113e-13,"Mac2_pos"
"Plac8",3.15737641726182,1.84547379987186,0.0208023416963163,2.89645112588738e-104,3.51802953750281e-100,"Mac2_pos"
"Lgals3",2.93728980128447,2.92651131571101,0.0469724159206659,6.91332004590697e-199,8.39691852775861e-195,"Mac2_pos"
"S100a6",2.9146166518954,2.80069728070842,0.0773104592716648,4.56300467849587e-127,5.54222548250108e-123,"Mac2_pos"
"Ifitm3",2.80458155848264,3.04088783309494,0.223546377471005,3.30359926360709e-112,4.01255166557717e-108,"Mac2_pos"
"Lyz2",2.77657937850136,3.70737777118438,1.27691030277397,3.4597542877417e-89,4.20221755789107e-85,"Mac2_pos"
"Il1b",2.67510509727688,1.85725494131911,0.0902879629407103,8.183325488742e-61,9.93946713862604e-57,"Mac2_pos"
"S100a11",2.65382744849133,2.44101622023362,0.0883366142038993,2.82761083725254e-108,3.43441612292694e-104,"Mac2_pos"
"Crip1",2.57793608745508,2.8133066567555,0.19291749198606,1.35788032262478e-77,1.64928143986006e-73,"Mac2_pos"
"Lcn2",2.45471478733337,0.537203936379157,0.00836860920788089,5.89078933199691e-29,7.15495272264344e-25,"Mac2_pos"
"Vim",2.3228035904807,2.24472195876981,0.0901957102228128,1.02620317481102e-81,1.24642637612546e-77,"Mac2_pos"
"Ifi27l2a",2.30787209801767,1.89128950677562,0.146191849710181,1.03551125731692e-46,1.25773197313713e-42,"Mac2_pos"
"Chil3",2.20508996302425,0.815125438518917,0.00284764465144504,1.45914152536037e-48,1.77227329670271e-44,"Mac2_pos"
"S100a4",2.19165555642232,1.85431418749205,0.0214696171320162,9.3080679496171e-99,1.13055793316049e-94,"Mac2_pos"
"Wfdc17",2.17715653707596,1.73746212144208,0.0739274763432173,3.56546668052261e-47,4.33061583016277e-43,"Mac2_pos"
"Tmsb10",2.1740049868367,2.99580980056504,0.702701445086869,3.10871522240348e-118,3.77584550913126e-114,"Mac2_pos"
"Fxyd5",2.170160791708,2.18123530767972,0.0902967237878091,1.47017012599636e-102,1.78566863503518e-98,"Mac2_pos"
"Lsp1",2.1482334042743,2.5186605477242,0.300179607937135,1.06822906175749e-126,1.29747101841064e-122,"Mac2_pos"
"Ifitm2",2.14185167628141,2.08043617316051,0.094473071217272,1.98950826710512e-100,2.41645674122587e-96,"Mac2_pos"
"Cd209a",2.12579348592883,1.19232300323501,0.0151514420333077,4.08929886989127e-34,4.96686240736994e-30,"Mac2_pos"
"Napsa",2.08456972533366,1.77840814531691,0.00660370921323521,1.70503881841608e-117,2.07094014884818e-113,"Mac2_pos"
"Msrb1",2.08188724339868,1.70404539640818,0.144000405527677,2.43414088389206e-82,2.9565075175753e-78,"Mac2_pos"
"Cd52",2.07730978972238,3.23609969163154,0.783261155570354,3.48016671747969e-218,4.22701049505083e-214,"Mac2_pos"
