"gene","avg_logFC","avg(logUMI)_cluster_Mac2_pos_ctrl","avg(logUMI)_cluster_1","p_val","p_val_adj","cluster"
"S100a8",4.57809329155045,0.576360099048614,0.181752804390515,1.7961314888429e-11,2.18158130634859e-07,"Mac2_pos_ctrl"
"Cd74",3.98987285852538,4.22669911825494,0.336818785277694,5.56077529970349e-48,6.75411767901986e-44,"Mac2_pos_ctrl"
"H2-Ab1",3.62525419680408,3.16338113691378,0.269924833654677,1.67384402400074e-42,2.03305095155129e-38,"Mac2_pos_ctrl"
"H2-Aa",3.57936311253216,3.10540024228008,0.19574799798864,2.73813485366354e-40,3.32573859325974e-36,"Mac2_pos_ctrl"
"Ngp",3.4976503842082,0.455353946742377,0.028954399244326,1.42550218041263e-05,0.173141494832918,"Mac2_pos_ctrl"
"H2-Eb1",3.44949907252584,2.90107220359463,0.148794620142542,4.39849644526047e-35,5.34241378241337e-31,"Mac2_pos_ctrl"
"Plac8",2.86247507605639,1.53808731588285,0.0286405209340763,1.22144975975812e-24,1.48357287820221e-20,"Mac2_pos_ctrl"
"Lyz2",2.77140427059938,3.76814091454438,1.30919893905362,1.93467919550149e-36,2.34986135085611e-32,"Mac2_pos_ctrl"
"Ifitm3",2.72110492002528,2.82620345654227,0.243477507593314,5.12833398074075e-38,6.22887445300771e-34,"Mac2_pos_ctrl"
"Lgals3",2.71692564124428,2.88207882332284,0.0800368077384622,3.69338542196749e-61,4.48598593352172e-57,"Mac2_pos_ctrl"
"Retnla",2.68713825547133,0.38141395697026,0.0121795273739615,8.93934683343965e-05,1,"Mac2_pos_ctrl"
"Crip1",2.67012910727618,2.8723180217259,0.217335660806075,1.99469169029838e-40,2.42275252703641e-36,"Mac2_pos_ctrl"
"Il1b",2.57435515647565,1.78997871815954,0.0997489635649504,5.01399990734815e-25,6.09000428746507e-21,"Mac2_pos_ctrl"
"S100a6",2.56115753877109,2.4526915836463,0.0969367232446718,1.78120130911283e-44,2.16344711004844e-40,"Mac2_pos_ctrl"
"Tmsb10",2.28347346465903,3.13296507657568,0.720523181277287,1.58076087157065e-56,1.91999215460971e-52,"Mac2_pos_ctrl"
"S100a11",2.26233577469098,1.94056841334621,0.101406653799394,1.38133928352241e-35,1.67777469376632e-31,"Mac2_pos_ctrl"
"Fxyd5",2.24845881826975,2.35165516350814,0.111172844772074,3.9667620686457e-50,4.81802920857707e-46,"Mac2_pos_ctrl"
"Vim",2.0975751031081,2.06125451520554,0.119831201725261,2.02326449893769e-38,2.45745706040972e-34,"Mac2_pos_ctrl"
"Wfdc17",2.04953696068999,1.65574431169866,0.0823635465679262,2.85328427344973e-29,3.46559907853204e-25,"Mac2_pos_ctrl"
"Lsp1",2.02843382782814,2.38532332383413,0.312973565215588,9.45781516185117e-50,1.14874622955844e-45,"Mac2_pos_ctrl"
"Mgl2",2.02270736666629,1.08794141848004,0.0268881434575202,2.51039971909922e-20,3.04913149881791e-16,"Mac2_pos_ctrl"
"Chil3",2.00296151215965,0.698272358187141,0.00757458678695654,2.30205862353812e-12,2.7960804041494e-08,"Mac2_pos_ctrl"
"Ifitm6",1.94898961315446,1.06175477434505,0.00982076887173762,6.03761192524526e-27,7.3332834444029e-23,"Mac2_pos_ctrl"
"Ifitm2",1.93261995241433,1.84557285568,0.106836767485282,1.45483634266132e-43,1.76704422179644e-39,"Mac2_pos_ctrl"
"S100a4",1.92039294391645,1.58304060737511,0.0380635451853451,2.98145607519557e-39,3.62127654893254e-35,"Mac2_pos_ctrl"
"Cd209a",1.91870713049758,1.14336202448543,0.0214631776093599,1.05332522299792e-24,1.27936881585327e-20,"Mac2_pos_ctrl"
"Napsa",1.91740859061631,1.61335700023926,0.0155408780695749,7.11978620989388e-49,8.64769233053711e-45,"Mac2_pos_ctrl"
"Ifi27l2a",1.90787067053339,1.44465913922141,0.15930055942822,3.72977124309951e-19,4.53018015186866e-15,"Mac2_pos_ctrl"
"Msrb1",1.86102046688491,1.43251403259216,0.155815133434778,3.81378509116085e-22,4.63222337172397e-18,"Mac2_pos_ctrl"
"Cd52",1.8583116560947,3.03331383230913,0.80585018454551,5.38299903007723e-55,6.5381906219318e-51,"Mac2_pos_ctrl"
"Anxa1",1.72768396109647,1.19158840143311,0.0249933976834521,3.03309243577498e-34,3.6839940724923e-30,"Mac2_pos_ctrl"
"Lgals1",1.71892170861416,1.59587234537111,0.111442657961109,2.08158862550914e-29,2.5282975445434e-25,"Mac2_pos_ctrl"
"Plbd1",1.70928211470358,1.43798395096832,0.0134586809308315,2.18337880018765e-50,2.65193189070792e-46,"Mac2_pos_ctrl"
"Slpi",1.70612076615421,0.523927952679613,0.0144967788655109,2.53035157645261e-09,3.07336502475934e-05,"Mac2_pos_ctrl"
"Anxa2",1.68929887464333,1.55321318838135,0.0893218641095777,2.74276283724965e-34,3.33135974212343e-30,"Mac2_pos_ctrl"
"Pim1",1.65331511089441,1.40684415912323,0.0687941312965211,9.9908720180191e-35,1.2134913153086e-30,"Mac2_pos_ctrl"
"Pglyrp1",1.62484565093404,0.723743009420949,0.0295014235332774,4.10786924276099e-12,4.9894179822575e-08,"Mac2_pos_ctrl"
"Tnip3",1.61447800563283,0.877152596858163,0.0115767119515437,3.57899167685588e-22,4.34704329070915e-18,"Mac2_pos_ctrl"
"S100a10",1.6038930224082,1.40415282017665,0.115208820828316,6.28075176546482e-27,7.62860109433357e-23,"Mac2_pos_ctrl"
"Ms4a6c",1.60231294214443,1.62642473795356,0.224687788267453,5.13879766022907e-26,6.24158363811423e-22,"Mac2_pos_ctrl"
"Cybb",1.59084947843418,1.3423799195702,0.0286510080296657,8.35127744366685e-42,1.01434615830778e-37,"Mac2_pos_ctrl"
"Dusp1",1.56918491476343,2.05342418093011,0.425823952705677,5.09725330794852e-20,6.19112386783427e-16,"Mac2_pos_ctrl"
"Ly6c2",1.55365450033641,0.752886251354333,0.00320271816143679,6.53308555510102e-19,7.9350857152257e-15,"Mac2_pos_ctrl"
"Hp",1.53535871932717,0.653084261816319,0.0145147522361514,3.73423842026514e-13,4.53560598525404e-09,"Mac2_pos_ctrl"
"Ear2",1.46488925297542,0.750087674652862,0.00701525218692326,1.15822706829408e-19,1.40678259714999e-15,"Mac2_pos_ctrl"
"Nr4a1",1.45307191835733,1.32811139557255,0.169837392345515,2.18319690120076e-19,2.65171095619844e-15,"Mac2_pos_ctrl"
"Emp3",1.44848648976622,1.706768380016,0.223861030122068,4.09400371517472e-31,4.97257691245122e-27,"Mac2_pos_ctrl"
"Ms4a4c",1.43205125566966,0.93624727065076,0.0176516348206588,3.87126774343238e-27,4.70204180117297e-23,"Mac2_pos_ctrl"
"Cdkn1a",1.41752341473304,1.25636992641058,0.100384106688523,8.92277420224518e-25,1.0837601546047e-20,"Mac2_pos_ctrl"
"Cxcl2",1.41283898479151,0.518831440772912,0.0521162424318543,1.54756367815331e-06,0.0187967084348501,"Mac2_pos_ctrl"
"Srgn",1.40378966715368,2.38955216809261,0.782805485143688,7.50400193756989e-34,9.11436075337239e-30,"Mac2_pos_ctrl"
